Equipement,Désignation,Fabricant,Zone de tri,Poste technique,Désignation,Année constr.,Cat. véhicule,Date acquis.,Date mise serv.,Poste respons.,Type de propul.,Type pétrole,Statut util.,Fin de validité,Modex - Catégorie cy,PowerBI - Catégorie
10507,INTERNATIONAL 4700 (URGENCE) [8851],INTERNATIONAL,VÉHICULE EN REMISAGE (ENCAN),,,1998,V.CAMION L,1998-03-02,2001-10-01,VE.MECAN,AR,DIESEL,VEND,2009-07-08,Camion unite d'intervention,Camion unite d'intervention
10513,GMC SAVANA 2500,GMC,VÉHICULE EN REMISAGE (ENCAN),,,1999,V.CAMION,1999-05-17,2001-10-01,VE.MECAN,AR,ESSENCE,VEND,2006-03-31,Fourgonette,Fourgonette
10516,CHEVROLET VENTURE,CHEVROLET,,,,2002,V.FOURG,2001-10-01,2001-11-01,VI.MECAN,AV,ESSENCE,VEND,2002-03-31,Fourgonette,Minifourgonette
10517,CHEVROLET VENTURE,CHEVROLET,,,,2002,V.FOURG,2001-10-01,2001-11-01,VE.MECAN,AV,ESSENCE,VEND,2002-03-31,Fourgonette,Minifourgonette
10518,CHEVROLET VENTURE,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2001-10-01,2001-11-01,VI.MECAN,AV,ESSENCE,VEND,2008-12-01,Fourgonette,Minifourgonette
10520,CHEVROLET VENTURE,CHEVROLET,VÉHICULE EN REMISAGE (ENCAN),,,2002,V.FOURG,2001-10-01,2001-11-16,VI.MECAN,AV,ESSENCE,VEND,2008-06-05,Fourgonette,Minifourgonette
10521,CHEVROLET VENTURE,CHEVROLET,,,,2002,V.FOURG,2001-10-01,2001-11-01,VI.MECAN,AV,ESSENCE,VEND,2002-03-31,Fourgonette,Minifourgonette
10523,CHEVROLET ASTRO AWD,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2001-10-01,2001-11-01,VI.MECAN,4R,ESSENCE,VEND,2010-10-13,Fourgonette,Fourgonette
10524,CHEVROLET ASTRO AWD,CHEVROLET,VÉHICULE EN REMISAGE (ENCAN),,,2002,V.FOURG,2001-10-01,2001-11-01,,4R,ESSENCE,VEND,2002-03-31,Fourgonette,Fourgonette
10525,CHEVROLET ASTRO AWD,CHEVROLET,VÉHICULE EN REMISAGE (ENCAN),,,2002,V.FOURG,2001-10-02,2001-11-01,VI.MECAN,4R,ESSENCE,VEND,2002-03-31,Fourgonette,Fourgonette
