,Entretien
146,REMPLACER - FUITE HUILE,REMPLACER - TUYAUX
147,RÉPARER - INSTRUMENT TABLEAU DE BORD (Gauge dash)
148,MODIFIER - FILAGE ÉLECTRIQUE
149,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
150,RECHERCHER PANNE (diagnostic) - FILAGE ÉLECTRIQUE,RECHERCHER PANNE (diagnostic) - BATTERIE
151,VÉRIFIER - ALTERNATEUR
152,REMPLACER - TUYAUX
153,RÉPARER - COMPOSANTE MAJEURE DU MOTEUR,RÉPARER - SOUPAPE SYSTÈME PRINCIPAL,REMPLACER - AMORTISSEUR,RÉPARER - SOUPAPE SYSTÈME PRINCIPAL
154,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
155,RÉPARER - Programme Entretien Préventif
156,INSTALLER - FABRIQUE SYSTÈME ÉLECTRIQUE
157,VÉRIFIER - INSTRUMENT TABLEAU DE BORD (Gauge dash)
158,AJUSTER - RÉGLEUR (Slack ajuster),INSTALLER - FABRIQUE SYSTÈME ÉLECTRIQUE,INSTALLER - FABRIQUE SYSTÈME ÉLECTRIQUE
159,INSTALLER - FABRIQUE SYSTÈME ÉLECTRIQUE
160,RECHERCHER PANNE (diagnostic) - DÉMARREUR
161,RECHERCHER PANNE (diagnostic) - POMPE HYDRAULIQUE SYSTÈME PRINCIPAL
162,VÉRIFIER - LUMIÈRE DE JOUR (Day running light),RÉPARER - FILAGE ÉLECTRIQUE,RÉPARER - POMPE À SERVO-DIRECTION,AJUSTER - CHASSIS PIÈCE CARROSSERIE
163,VÉRIFIER - CYLINDRE DE LEVAGE
164,MODIFIER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
165,VÉRIFIER - ALTERNATEUR
166,RECHERCHER PANNE (diagnostic) - FILAGE ÉLECTRIQUE
167,REMPLACER - COMPRESSEUR
168,RÉPARER - FILAGE ÉLECTRIQUE
169,RÉPARER - VANAIR
